DAY,JN,CW,PS,HZ,JN,,EK,DATE,EVENT 1,CLASSROOM,"Shift 1
8am - 9.30am","Shift 2
12.30pm - 2pm","Shift 3
4.30pm - 6pm",EVENT 2,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 3,CLASSROOM,Shift 1,Shift 2,Shift,EVENT 4,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 5,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 6,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 7,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 8,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3
Thursday,,,,,,,,3-Aug-23,Singhealth - DWPP,TT19,,,,Lead Horizon,CC11,,,,,,,,,CSA - STL1,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,4-Aug-23,PUB-DVSAP,Online,,,,,,,,,M5 - Transformation - Leadership,Chui Huay Lim Club,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,5-Aug-23,,,,,,,,,,,M5 - Transformation - Leadership,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,6-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,7-Aug-23,PUB-DSM,TT19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,8-Aug-23,Singhealth - DWPE,CC12,,,,,,,,,,,,,,CSA - SS,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,9-Aug-23,NATIONAL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,10-Aug-23,Singhealth - DWPP,TT19,,,,BME - Primer,LT3,,,,M5 - Transformation - Leadership,Online,,,,CSA - STL1,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,11-Aug-23,,,,,,BME - Primer,LT3,,,,M6 - Transformation - Data-Driven Strategy,Chui Huay Lim Club,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,12-Aug-23,,,,,,,,,,,M6 - Transformation - Data-Driven Strategy,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,13-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,14-Aug-23,PUB-DSM,TT19,,,,DSTA - IbD 4/8,CC11,,,,,,,,,,,,,,,,,,,DAI Loan Hubs,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,15-Aug-23,,,,,,Singhealth - DWPE,CC12,,,,,,,,,CSA - STL1,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,16-Aug-23,,,,,,,,,,,M5 - Transformation - Leadership,Chui Huay Lim Club,,,,CSA - SS,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,17-Aug-23,Singhealth - DWPP,TT19,,,,CDL - Awareness,CC12,,,,,,,,,CSA - STL1,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,18-Aug-23,PUB-DVSAP,Online,,,,,,,,,M6 - Transformation - Data-Driven Strategy,Chui Huay Lim Club,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,19-Aug-23,,,,,,,,,,,M6 - Transformation - Data-Driven Strategy,Chui Huay Lim Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,20-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,21-Aug-23,PUB-DSM,TT19,,,,DSTA - IbD 5/8,CC11,,,,SG-ICS301,ASCCE,,,,,,,,,Lite-On: IO,LT3,RC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,22-Aug-23,Singhealth - DWPE,CC12,,,,BME - Network Security,TT19,,,,,,,,,,,,,,Lite-On: IO,LT3,RC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,23-Aug-23,,,,,,BME - Network Security,TT19,,,,SG-ICS301,ASCCE,,,,M6 - Transformation - Data-Driven Strategy,Online,,,,,,,,,SMT Loan Hub,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,24-Aug-23,,,,,,Singhealth - DWPP,TT19,,,,SG-ICS301,ASCCE,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,25-Aug-23,,,,,,,,,,,SG-ICS301,SUTD,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,26-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,27-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,28-Aug-23,PUB-DSM,TT19,,,,,,,,,,,,,,CSA - STL1 (AM),2.612,,,,,,,,,,Hazril Reservist,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,29-Aug-23,Singhealth - DWPE,Online,,,,DSTA - IbD 6/8,CC11,,,,,,,,,CSA - STL2 (AM),2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,30-Aug-23,Mindef - INLP,TT21,,,,,,,,,M6 - Transformation - Data-Driven Strategy,MoneyMax Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,31-Aug-23,Singhealth - DWPP,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,1-Sep-23,President Election 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,2-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,3-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,4-Sep-23,PUB-DSM,Online,,,,,,,,,Pharma,LT4,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,5-Sep-23,DSTA - IbD 7/8,CC15,,,,Singhealth - DWPE,Online,,,,Pharma,LT4,,,,CSA - STL2 (PM),2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,6-Sep-23,RSAF - FDS,TT20,,,,,,,,,Pharma,LT4,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,7-Sep-23,Singhealth - DWPP,Online,,,,,,,,,Pharma,LT4,,,,CSA - SS,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,8-Sep-23,,,,,,,,,,,Pharma,LT4,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,9-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,10-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,11-Sep-23,LTA/Public - INLP,TT21,,,,,,,,,,,,,,NYP DI Workshop,2.612A,,,,CIPM,1.311A,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,12-Sep-23,SingHealth - DVSAE,TT21,,,,,,,,,,,,,,NYP DI Workshop,2.612A,,,,CIPM,1.311A,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,13-Sep-23,RSAF - FDS,TT20,,,,,,,,,,,,,,CSA - SS,2.612,,,,CIPM,1.311A,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,14-Sep-23,Singhealth - DVSAP,TT21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,15-Sep-23,,,,,,,,,,,,,,,,CSA - DF,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,16-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,17-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,18-Sep-23,PUB-DSM,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,19-Sep-23,SingHealth - DVSAE,TT22,,,,,,,,,,,,,,DSTA - IbD 8/8,2.612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,20-Sep-23,RSAF - FDS,TT20,,,, ,,,,,,,,,,CSA - STL2 (PM),2.612,,,,Industry Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,21-Sep-23,Singhealth - DVSAP,TT21,,,,,,,,,,,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,22-Sep-23,,,,,,,,,,,,,,,,CSA - STL2,2.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,23-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,24-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,25-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,26-Sep-23,SingHealth - DVSAE,TT22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,27-Sep-23,RSAF - FDS,TT20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,28-Sep-23,Singhealth - DVSAP,TT21,,,,OCBC-IDS,2.612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,29-Sep-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
