DAY,JN,CW,PS,HZ,JN,,EK,DATE,EVENT 1,CLASSROOM,"Shift 1
8am - 9.30am","Shift 2
12.30pm - 2pm","Shift 3
4.30pm - 6pm",EVENT 2,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 3,CLASSROOM,Shift 1,Shift 2,Shift,EVENT 4,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 5,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 6,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 7,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 8,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3,EVENT 9,CLASSROOM,Shift 1,Shift 2,Shift 3
Saturday,,,,,,,,9-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,10-Mar-24,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,11-Mar-24,SS (CSA 8),2.612A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,12-Mar-24,RSAF - DVSAE,TT21,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,13-Mar-24,RSAF - DSMP,TT20,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,14-Mar-24,CSM,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,15-Mar-24,RSAF - DSV,TT19,TN,TN,TN,DF (CSA 8),2.612A,SW,SW,,Pub Sus 3,TT21,SA,SA,SA,CSM,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,16-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,17-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,18-Mar-24,,,,,,ChatGPT,1.311A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,19-Mar-24,RSAF - DVSAE,Online,,,,,,,,,,,,,,"CDC
 2 Microsoft Surface Hub 50-Inch from 19-21 March 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,20-Mar-24,RSAF - DSMP,TT20,SA,SA,SA,ChatGPT,1.311A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,21-Mar-24,CSPO,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,22-Mar-24,RSAF - DSV,TT19,TN,TN,TN,ChatGPT,1.311A,SW,SW,SW,Pub Sus 3,TT21,SA,SA,SA,CSPO,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,23-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,24-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,25-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,26-Mar-24,RSAF - DVSAE,Online,,,,SingHealth Grad Ceremony,Library,SW,,,1  Microsoft Surface Hub 50-Inch from 26-27 March 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,27-Mar-24,RSAF - DSMP,Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,28-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,29-Mar-24,GOOD FRIDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,30-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,31-Mar-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,1-Apr-24,,,,,,,,,,,,,,,,Loan 1 x 85 inch Surface hub from 1-3 Apr (2.162A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,2-Apr-24,RSAF - FDS,TT19,SA,SA,SA,HealthCare - FDS,TT21,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,3-Apr-24,RSAF - DSMP,Online,TN,TN,,,,,,,Internationalisation - SZ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,4-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,5-Apr-24,RSAF - DSV,Online,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,6-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,7-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,8-Apr-24,,,,,,,,,,,SMT Loan Hub (Self pick from Office),,,,,Internationalisation - SZ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,9-Apr-24,RSAF - FDS,TT19,JT,JT,JT,HealthCare - FDS,TT21,SW,SW,SW,,,,,,Internationalisation - SZ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,10-Apr-24,HARI RAYA PUASA,,,,,,,,,,,,,,,Internationalisation - SZ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,11-Apr-24,CDL - DIA,TT24/25,SW,SW,SW,,,,,,,,,,,Internationalisation - SZ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,12-Apr-24,RSAF - DSV,Online,TN,TN,,,,,,,,,,,,Internationalisation - SZ,NA,,,,Capstone 20 - 85inch hub x 1 (Cyrille),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,13-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,14-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,15-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,16-Apr-24,HealthCare - FDS,TT21,TN,TN,TN,CSM,Online,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,17-Apr-24,CSM,Online,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,18-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,19-Apr-24,RSAF - FDS,TT19,JT,JT,JT,,,,,,,,,,,Lim Lee Cheng Loan hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,20-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,21-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,22-Apr-24,,,,,,IAI,LT5,TN,TN,TN,IAI,LT5,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,23-Apr-24,CSPO,Online,,,,HealthCare - FDS,TT21,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,24-Apr-24,CSPO,Online,,,,RSAF - FDS,TT19,JT,JT,JT,,,,,,SBM,TT21,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,25-Apr-24,,,,,,Pub - GAID,TT19,SA,SA,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,26-Apr-24,OCBC IDS,Think Tank 22,TN,TN,TN,Pub - GAID,TT19,SW,SW,SW,Pub Sus 4,TT21,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,27-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,28-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,29-Apr-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,30-Apr-24,Carbon Zero,Off-Site (NDCS),EK,EK,EK,HealthCare - FDS,Online,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,1-May-24,LABOUR DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,2-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,3-May-24,RSAF - FDS,Online,TN,TN,,,,,,,Pub Sus 4,TT21,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,4-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,5-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,6-May-24,,,,,,,,,,,,,,,,,PIE/DZ Loan 3 x 50 inch hubs. For Design Innovation Forum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,7-May-24,BMI,Off-site,EK,EK,EK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,8-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,9-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,10-May-24,,,,,,,,,,,Pub Sus 4,TT21,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,11-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,12-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,13-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,14-May-24,HealthCare - FDS,Onlne,SW,SW,,,,,,,,,,,,ESD Tan Siew Gan Loan 85 inch hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,15-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,16-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,17-May-24,RSAF - FDS,Online,TN,TN,,,,,,,Pub Sus 4,TT21,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,18-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,19-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,20-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,21-May-24,BMI,Off-site,,,,DSV (Healthcare),TT20,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,22-May-24,Vesak Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,23-May-24,AIB,Virtual (1-5pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,24-May-24,AIB,Virtual (1-5pm),,,,,,,,,Pub Sus 4,TT21,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,25-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,26-May-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,27-May-24,,,,,,Pub - PCS,TT19,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,28-May-24,CSM,Online,SW,SW,SW,Pub - PCS,TT19,SA,SA,SA,DSV (Healthcare),TT20,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,29-May-24,CSM,Online,SW,SW,SW,PHSS - FT,Off-Site,EK,EK,EK,AIB,Virtual (1-5pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,30-May-24,CSPO,Online,,,,,,,,,AIB,Virtual (1-5pm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,31-May-24,CSPO,Online,,,,,,,,,,,,,,,,,,,Melina loan 2x 50 inch hub for SMM with ESM Goh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,1-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,2-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,3-Jun-24,,,,,,CIPT,Online,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Person,",,,,,,,,4-Jun-24,DSV (Healthcare),TT20,TN,TN,TN,CIPT,Online,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,5-Jun-24,RSAF - DWPE,TT19,SA,SA,SA,CIPT,Online,SW,SW,SW,,,,,,,,,,,Melina loan 1x 50 inch hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,6-Jun-24,BCA - iBuildSG,TT24/25,SA,SA,SA,,,,,,,,,,,,,,,,Michelle PIE loan Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,7-Jun-24,BCA - iBuildSG,TT24/25,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,8-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,9-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,10-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,11-Jun-24,DSV (Healthcare),TT20,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,12-Jun-24,RSAF - DWPE,TT19,SA,SA,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,13-Jun-24,BCA - iBuildSG,TT24/25,SA,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,14-Jun-24,BCA - iBuildSG,Offsite,,,,,,,,,BMI,Off-site,,,,OCBC IDS,TT19,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,15-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,16-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,17-Jun-24,Hari Raya Haji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,18-Jun-24,DSV (Healthcare),Online,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,19-Jun-24,RSAF - DWPE,TT19,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,20-Jun-24,DSTA - DI,CC11,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,21-Jun-24,DSTA - DI,CC11,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,22-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,23-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,24-Jun-24,CSM,Online,TN,TN,TN,BME - NS,TT20,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,25-Jun-24,CSM,Online,TN,TN,TN,BME - NS,TT20,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,26-Jun-24,RSAF - DWPE,TT19,JT,JT,JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,27-Jun-24,,,,,,BME - PCS,TT20,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,28-Jun-24,Creative SI,TT19,JT,JT,JT,BME - PCS,TT20,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,29-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,30-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,1-Jul-24,,,,,,,,,,,,,,,,,CC11,,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,2-Jul-24,DSV (Healthcare),Online,TN,TN,,Setup for TT20,TT20,SW,SW,,Evening - FDS,Zoom,,,TN,SUTD - FDIB,CC11,SA,SA,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,3-Jul-24,RSAF - DWPE,Online,SW,SW,,Pub - PCS,TT20,JT,JT,JT,Pub Sus 5,Think Tank 21,SA,SA,SA,SUTD - FDIB,CC11,TN,TN,TN,NGSCSL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,4-Jul-24,,,,,,Pub - PCS,TT20,JT,JT,JT,Pub Sus 5,Think Tank 21,SA,SA,SA,SUTD - FDIB,CC11,TN,TN,TN,NGSCSL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,5-Jul-24,Titus Use CC11,,,,,Setup for DIA,Lib Training Room,,TN,TN,Pub Sus 5,Think Tank 21,SA,SA,SA,,,,,,NGSCSL,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,6-Jul-24,Evening - FDS,Zoom,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,7-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,8-Jul-24,SM - DIA,Lib Training Room,SA,SA,SA,SM - DIA,Lib Training Room,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,9-Jul-24,RDBMS (Healthcare),TT20,SA,SA,SA,Evening - FDS,Zoom,,,TN,Allied Health - DI,Offsite,EL,EL,EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,10-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,11-Jul-24,,,,,,,,,,,CAF (Ian),TT20,SW,SW,SW,SSG ROADSHOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,12-Jul-24,Creative SI,CC11,SA,SA,SA,,,,,,CAF (Ian),TT20,SW,SW,SW,,,,,,NUS/SA Cyber,TT21,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,13-Jul-24,Morning - FDS,Zoom,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,14-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,15-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,16-Jul-24,RDBMS (Healthcare),TT20,JT,JT,JT,Evening - FDS,Zoom,,,TN,,,,,,Allied Health - DI,Offsite,Haz,Haz,Haz,NUS/SA Cyber,Leet Lab,TN,TN,TN,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,17-Jul-24,RSAF - DWPE,Online,SA,SA,,,,,,,,,,,,DSC,Offsite,,,,NUS/SA Cyber,TT19,JT,JT,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,18-Jul-24,,,,,,,,,,,Pub Sus 5,Think Tank 21,SW,SW,SW,DSC,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,19-Jul-24,,,,,,,,,,,Pub Sus 5,Think Tank 21,SW,SW,SW,DSC,Offsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,20-Jul-24,Morning - FDS,Zoom,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,21-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,22-Jul-24,Advancement Loan 5 Hub ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,23-Jul-24,RDBMS (Healthcare),TT20,,,,CSM,Online,Haz,Haz,Haz,Allied Health - DI,Offsite,Haz,Haz,Haz,Evening - FDS,Zoom,,,NC,NUS/SA Cyber,Leet Lab,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,24-Jul-24,SMT Loan 1 Hub,,,,,CSM,Online,Haz,Haz,Haz,CSA SS,2.612A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,25-Jul-24,,,,,,Mastering AI,1.311A,NC,NC,NC,CSA STL 1,2.612A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,26-Jul-24,,,,,,Mastering AI,1.311A,NC,NC,NC,CSA DF,2.612A,SW,SW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,27-Jul-24,Morning - FDS,Zoom,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,28-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,29-Jul-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,30-Jul-24,RDBMS (Healthcare),CGH,WS,WS,WS,CSA STL 1,2.612A,SW,SW,SW,Evening - FDS,Zoom,,,NC,CSPO,Zoom,NC,NC,NC,,,,,,Allied Health - DI,Offsite,Haz,Haz,Haz,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,31-Jul-24,CSA SS,2.612A,SW,SW,SW,,,,,,CSPO,Zoom,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,1-Aug-24,CSA STL 1,2.612A,SW,SW,SW,,,,,,,,,,,CSPO,Online,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,,,,,,,,2-Aug-24,OCBC IDS,TT19,NC,NC,NC,CSA DF,2.612A,SW,SW,SW,Creative SI,TT20,JT,JT,SW,CSPO,Online,Haz,Haz,Haz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,,,,,,,,3-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,,,,,,,,4-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,,,,,,,,5-Aug-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,6-Aug-24,CSA STL 1,2.612A,SW,SW,SW,RDBMS (Healthcare),Online,NC,NC,,,,,,,,,,,,Evening - FDS,Zoom,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,7-Aug-24,CSA SS,2.612A,AL,AL,AL,DAI Loan 5 Hub,1.311A,,,,Pub Sus 6,TT19,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,8-Aug-24,CSA STL 1,2.612A,JL,JL,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
